ProteinID	ReplicateA	ReplicateB	ReplicateC	ReplicateD
AKU26718.1	0.00010149993451801	9.97429804969349e-05	8.46615574334473e-05	8.19252439608879e-05
AKU26721.1	9.78547183565084e-05	9.98168924278354e-05	4.08546774606078e-05	8.34177511777105e-05
AKU26723.1	0.000198614517162672	0.000217323788837429	0.000210980343041544	0.0001476879381019
AKU26724.1	0.00012514208163268	9.80130799073414e-05	0.00017223795255485	0.000126519779431484
AKU26726.1	2.48086267164192e-05	5.53355580929988e-05	6.81399644626464e-05	1.34734406292717e-05
AKU26727.1	2.34214735463768e-05	6.73189305933889e-06	NaN	2.51139689589182e-05
AKU26728.1	0.000226110228651472	0.000196002577981512	0.00026131924554685	0.000193565305656454
AKU26729.1	0.000575184923912284	0.000655611649367959	0.00078373338298717	0.000666663804430391
AKU26730.1	0.00224023574307483	0.00244133310068151	0.00162692143195997	0.0024529531542178
AKU26732.1	0.00167892299939318	0.00215901665732669	0.00273732850352875	0.00110469077922608
AKU26733.1	0.000186100199838392	0.000264132073473684	0.00018974944762673	0.000206816260191732
AKU26734.1	0.00111523699329785	0.0010528126666746	0.00115691493250694	0.00105080014366858
AKU26735.1	0.000332519167850764	0.000388032156089604	0.000319057351279647	0.000330132850427044
AKU26736.1	4.5920657037291e-05	4.30692362284266e-05	5.34465559008581e-05	5.169459102465e-05
AKU26737.1	0.000168955481684633	0.000142214899058362	0.000138123867460855	6.83794999241686e-05
AKU26741.1	0.000257096102984418	0.000371516294278314	0.000319168963702943	0.000259583329741112
AKU26742.1	0.000175984062841353	0.000297732180891349	0.000280369633144381	0.000199025554276958
AKU26743.1	0.000507663216352393	0.000587651158217764	0.000516821964149136	0.000427447283611133
AKU26744.1	3.11771214800118e-05	4.13149785648717e-05	6.63677044640275e-05	6.01177735335986e-05
AKU26745.1	0.000382594702917887	0.000397593166129844	0.000549298938506639	0.00039509499510708
AKU26746.1	0.000265533181822393	0.000301908047903912	0.000186879443807297	0.000239336566563528
AKU26747.1	6.27803071410529e-05	9.23953176863897e-05	0.000206930357355139	7.94674085118164e-05
AKU26748.1	9.06358278442182e-05	0.000225403618058314	0.000130983981745056	0.000191624330685991
AKU26749.1	1.03845368620343e-05	1.94326524294419e-05	NaN	1.79452968684284e-05
AKU26751.1	0.00018945251367942	0.000228404377698031	0.000176457307940438	0.00019425983584587
AKU26752.1	0.000733602903941455	0.000768679379828834	0.000804031035772513	0.000997622495820068
AKU26753.1	0.000544823134933238	0.000582049708741572	0.000438777343469503	0.000464071806477696
AKU26754.1	0.000144456420373521	0.000157966780585216	0.000329159847064709	0.000128312574781567
AKU26755.1	0.000587263127439569	0.000670139310125658	0.000595119628500475	0.000546984670105044
AKU26756.1	0.000215533741784065	0.000188323683312255	0.000224162013650035	0.000155117559167614
AKU26757.1	1.25296192430711e-05	2.4929225488767e-05	4.14922065850297e-05	1.46065352697961e-05
AKU26759.1	0.00144012404145071	0.00118108053095335	0.00112641603339037	0.00139128392554392
AKU26760.1	8.61911498892136e-05	9.55055169080705e-05	3.97006284211622e-05	6.73035349210129e-05
AKU26761.1	0.00210755212309814	0.00180786219465116	0.00263492959011297	0.00215398679757531
AKU26762.1	0.00176907798941782	0.00160660939919217	0.000899194447129566	0.00142056609051389
AKU26763.1	0.0010391167742598	0.000922020873785752	0.000733937290264812	0.000875235965045703
AKU26765.1	1.62679294743102e-05	1.25926342364052e-05	6.78451551499436e-06	7.28435548245127e-06
AKU26767.1	0.000321144329387541	0.000296579557554194	0.000324088382405358	0.000246431553287789
AKU26768.1	0.000196700362784502	0.000197383657444041	0.000181350453957558	0.000163531742350828
AKU26773.1	0.000278005505838227	0.000256439211240238	0.000142776289559773	0.00142859443468598
AKU26774.1	0.000229607032333631	0.00019942020229077	0.00019646528513908	0.000220425523684505
AKU26775.1	0.000129876144643197	0.000167355988541863	0.000121356776410266	0.000178717730794696
AKU26776.1	0.000282942922936054	0.000239015469578706	0.000296758177167829	0.000133117187708151
AKU26777.1	0.00124687254599502	0.00249079065209285	0.00174070408791022	0.0008435473298227
AKU26778.1	0.00123726383562882	0.00139004136658074	0.00109329583386668	0.000962459841171584
AKU26779.1	0.000758876441385271	0.000745259415263224	0.000603713087576088	0.000766683872862886
AKU26780.1	0.000477515921810342	0.000581886761921144	0.000294428794581956	0.000502023275094823
AKU26782.1	3.44162521978964e-05	4.29920478133286e-05	0.000164622163843069	7.92899043438932e-05
AKU26783.1	0.000116016465234348	0.000160210679722	0.000127809165492671	0.000115696661346499
AKU26787.1	0.000209361502947607	0.000268745136729264	0.000384933757780064	0.000255043490964831
AKU26788.1	0.000183212273633666	0.000154867876323173	0.000224453954025266	0.000221967703125099
AKU26789.1	0.000496141035767396	0.000669375160407482	0.00070992678367233	0.0004994422685872
AKU26790.1	0.00185469897378763	0.0016916829805448	0.00168933108431555	0.00158105893537147
AKU26791.1	0.000357415886862786	0.00038323375130204	0.000379904783930532	0.000389204589558765
AKU26792.1	0.000597088387278176	0.000611390808838133	0.000720269134090118	0.000446209960514376
AKU26793.1	0.00120864371757691	0.00107834541321747	0.000927109456453265	0.00138939272303444
AKU26794.1	8.25085453744958e-05	0.000128357021182661	0.000118136415057764	0.000181681043875635
AKU26796.1	0.00013268594992461	0.000183454054205239	0.000167894464023637	0.00014675108189896
AKU26797.1	3.89486474615801e-06	2.36209093923838e-05	NaN	5.69107509463201e-06
AKU26798.1	0.000116896829017856	0.000128741907536748	0.000303483110205052	0.000127918517440356
AKU26799.1	0.00028699134628484	0.000330445432995004	0.000410650259196631	0.000334795649660738
AKU26800.1	0.00164307677755148	0.0016693521845393	0.0011702109681797	0.00111070914388107
AKU26804.1	0.00156904375554845	0.000811400036385143	0.00179103205179654	0.00104530569463848
AKU26807.1	6.14778545834738e-05	7.44448756225274e-05	0.000141249684741956	4.96587881405564e-05
AKU26808.1	0.0014694343673435	0.00135624866927102	0.00114798078829396	0.00243886533961623
AKU26809.1	0.000187137447180808	0.000204382754542302	0.000259850509331549	0.00018911209503159
